Session,Player,Participant,Condition,Trial,CompletedThrows,Outcome,BallCentroidDistanceAtBrimPlane,BallCentroidDistanceMin,DistanceMiss,LateralMiss,LongitudeMiss,BallSpeedMax,BallAltitudeMax,WristSpeedMax,DispatchDistance,DispatchElbowAltitude
2,2,4,Daylight,6,16,Miss,9.630408512103717,9.630408512103717,5.980408512103717,0.0,195.85850000000002,5.608616719660266,90.7992,2.1477895110860397,160.279,
2,2,4,Daylight,7,17,Miss,7.005052083318168,5.793518690744013,2.1435186907440134,0.0,218.0500612403101,5.132074050035888,88.18050000000001,2.2507881975501793,185.21910000000003,58.23179999999998
2,2,4,Daylight,8,18,Miss,15.813603677214115,15.813603677214115,12.163603677214116,1.9609000000000005,202.9482963302752,6.112291958887494,83.8522,2.2898296351413134,158.52190000000002,
2,2,4,Daylight,9,19,Miss,6.780665311014847,6.292826484180222,2.6428264841802225,0.14260000000000117,206.86737014925373,5.048264066870521,88.46559999999998,2.1955732777647583,169.21990000000002,
2,2,4,Daylight,10,20,Miss,9.518907653192153,5.243887379606859,1.5938873796068593,0.0,212.76364107142857,5.062123252555568,85.99669999999999,2.105692652007892,168.9336,56.818000000000026
5,1,5,Darkness,1,1,Miss,7.330291740442535,7.18001405639292,3.53001405639292,1.7267000000000001,184.14919999999998,5.082379574943424,104.38860000000003,1.93897346081527,152.1361,34.92817993273546
5,1,5,Darkness,2,2,Miss,7.39206397767229,7.39206397767229,3.7420639776722906,0.0,183.6309,5.226680753647299,100.91900000000001,1.9626949726345584,150.5808,31.470400000000012
5,1,5,Darkness,3,3,Miss,12.878366017861117,12.81282713104333,9.16282713104333,9.0548,189.9736,5.023173176855201,102.98660000000001,2.0899037855458755,158.75820000000002,41.64580000000001
5,1,5,Darkness,4,4,Miss,23.29546091838495,23.29546091838495,19.645460918384952,4.281,189.1778,5.19847995718614,106.58480000000003,2.0922539904098434,142.03140000000002,33.84530000000002
5,1,5,Darkness,5,5,Miss,14.881291676464096,14.881291676464096,11.231291676464096,0.0,177.6411,5.290743074367397,105.65050000000002,1.7102257462486576,152.8827,35.73020000000001
5,1,5,Darkness,6,6,Miss,2.995614232263362,2.995614232263362,0.0,0.0,190.371,5.699182323022146,107.5584,1.682203623111418,136.19,44.604900000000015
5,1,5,Darkness,7,7,Miss,12.28893498518078,8.299258780156219,4.649258780156219,0.0,189.048,4.858277146862836,107.2209,1.9630546506684352,160.40460000000002,36.43810000000002
5,1,5,Darkness,8,8,Miss,9.636282350055946,9.636282350055946,5.986282350055947,0.09620000000000006,186.1198,5.309939213407651,102.03380000000001,1.9420332214928542,153.6011,38.76150000000001
5,1,5,Darkness,9,9,Miss,14.390954279338121,14.390954279338121,10.740954279338123,5.964800000000001,189.8971,5.119950912110988,104.1925,1.9350907526545418,161.2701,31.91549673387769
5,1,5,Darkness,10,10,Miss,14.280741087562646,14.280741087562646,10.630741087562647,0.7889000000000008,188.94809999999998,5.1258450134218005,102.09040000000002,1.9360810973169638,152.3717,37.91890000000001
5,1,5,Daylight,1,11,Miss,9.982838963441228,9.982838963441228,6.332838963441229,0.0,184.4,5.31791988885217,99.15050000000001,1.9716428820368135,149.7883,33.596600000000024
