Session,Player,Participant,Condition,Trial,CompletedThrows,Outcome,RadialError
6,1,11,Dark room,8,8,Miss,18.84032101663875
6,1,11,Dark room,9,9,Miss,14.355087449751032
6,1,11,Dark room,10,10,Miss,13.197171064284946
6,1,11,Lit room,1,11,Hit,4.034728283292442
6,1,11,Lit room,2,12,Miss,10.096102264240397
6,1,11,Lit room,3,13,Miss,8.13026007210101
6,1,11,Lit room,4,14,Miss,9.106395980847752
6,1,11,Lit room,5,15,Miss,16.139811008806763
6,1,11,Lit room,6,16,Miss,6.8819380504331775
6,1,11,Lit room,7,17,Miss,30.354052820010693
6,1,11,Lit room,8,18,Miss,9.115941203189056
6,1,11,Lit room,9,19,Miss,27.881120043857635
6,1,11,Lit room,10,20,Miss,6.734478234429144
6,2,12,Dark room,1,1,Miss,15.637695669119548
6,2,12,Dark room,2,2,Miss,87.04620969169193
6,2,12,Dark room,7,7,Miss,47.18252787907828
6,2,12,Lit room,4,14,Miss,13.900545109095525
6,2,12,Lit room,7,17,Miss,13.69402368663061
6,2,12,Lit room,10,20,Miss,33.531777467948196
7,1,13,Dark room,1,1,Hit,4.009606081649417
7,1,13,Dark room,2,2,Miss,5.275116415777005
7,1,13,Dark room,3,3,Hit,4.7980093080359945
7,1,13,Dark room,4,4,Miss,4.404335811447625
7,1,13,Dark room,5,5,Miss,9.0488129702188
7,1,13,Dark room,6,6,Hit,3.7839635635138023
7,1,13,Dark room,7,7,Miss,12.590891022084183
7,1,13,Dark room,8,8,Miss,5.251283504058793
7,1,13,Dark room,9,9,Hit,3.3510620480677487
7,1,13,Dark room,10,10,Miss,7.748773808803565
7,1,13,Lit room,1,11,Miss,10.995399802644728
7,1,13,Lit room,2,12,Miss,8.40959881623374
7,1,13,Lit room,3,13,Miss,6.793521362298063
7,1,13,Lit room,4,14,Hit,4.969477477562416
7,1,13,Lit room,5,15,Miss,7.170486390754806
7,1,13,Lit room,6,16,Miss,11.59797544574052
7,1,13,Lit room,7,17,Miss,10.650809588946734
7,1,13,Lit room,8,18,Miss,13.994575492668577
7,1,13,Lit room,9,19,Hit,1.9846251031366136
7,1,13,Lit room,10,20,Miss,5.220332243258093
7,2,14,Dark room,1,1,Miss,14.291395639334882
7,2,14,Dark room,2,2,Miss,17.11047807163786
7,2,14,Dark room,3,3,Miss,15.175883806882554
7,2,14,Dark room,4,4,Miss,12.098869184349438
7,2,14,Dark room,5,5,Hit,1.8783546337153705
7,2,14,Dark room,6,6,Miss,7.192044908786377
7,2,14,Dark room,7,7,Miss,9.354528094992304
7,2,14,Dark room,8,8,Miss,13.307602790886115
7,2,14,Dark room,9,9,Hit,4.136921560774383
